key,lat,lon
Savoie;Canyon du Biol;Saint Bon Courchevel,,
Bouches-du-Rhône;Cap Canaille - Falaises Soubeyrane - Cassis;Cassis,43.1952,5.55222
Bouches-du-Rhône;Cap Canaille - Falaises Soubeyrane - La Ciotat;nan,,
"Bouches-du-Rhône;Cap Canaille - Ste Frétouse, Figuerolles, Bec de l'Aigle;La Ciotat",43.1904,5.55702
Manche;Cap de Flamanville;Flamanville,49.5298,-1.86651
Finistère;Cap de la Chèvre;Crozon,48.2453,-4.48654
Manche;Cap de la Hague - Castel-Vendon;Urville-Nacqueville,49.6721,-1.73446
Manche;Cap de la Hague - La Hague;Jobourg,49.6835,-1.90527
La Réunion;Cap de la Houssaye;Saint-Paul,-21.018,55.2378
Haute-Corse;Caporalinu;Omessa / Francardo,42.3978,9.19196
Ariège;Caraybat;Soula,42.943,1.69531
Aude;Cardou;Rennes les bains,42.919,2.31916
Cantal;Carlat;Carlat,,
Saône-et-Loire;Carnaval d'Uchon;Uchon,46.8128,4.25286
Indre;Carrière Chabenet;Le Pont-Chrétien-Chabenet,,
Bas-Rhin;Carrière du Gauxberg;nan,,
Vosges;Carrière Philippe Mengin (Carrière Collot);Epinal,48.1748,6.44998
Moselle;Carrière Vewerberg;nan,,
Moselle;Carrière Vewerberg M Bohr;nan,,
Dordogne;Carsac-Aillac;Carsac-Aillac,,
"Calvados;Carville;Carville, lieu dit Saint Aulin",48.9447,-0.89414
Haute-Savoie;Cascade (Flaine);Arâches-la-Frasse,46.043,6.63224
Haute-Savoie;Cascade de Doran;Sallanches,45.9384,6.62991
Alpes-Maritimes;Cascade de Grasse;Grasse,43.6478,6.93165
Isère;Cascade de La Fare;Vaujany,45.1554,6.08998
La Réunion;Cascade de Niagara;Sainte-Suzanne,-20.9193,55.6042
Cantal;Cascade de Salins;Salins,45.1909,2.39305
Pyrénées-Orientales;CASTEIL;nan,42.5262,2.39717
Corse-du-Sud;Castel Vecchio;san giovanni,,
Alpes-Maritimes;Castellar;Castellar,43.8031,7.4966
Bouches-du-Rhône;Castillon;Port de Bouc,43.4396,4.98516
Alpes-de-Haute-Provence;Castillon - Ville;Demandolx,43.8695,6.57936
"Alpes-Maritimes;Castillon, Testa Della;Castillon",43.8262,7.48445
Hérault;Castries;Castries,43.679,3.98576
"Vaucluse;Cavaillon, la Colline Saint-Jacques;Cavaillon",43.8387,5.03246
Gard;Cayrebelou;Aiguèze,,
Ariège;Centrale de Bassiès;Auzat,42.7671,1.47947
Dordogne;Cercles la Tour Blanche;Cercles,,
"Pyrénées-Orientales;Cerdagne, Capcir - Els Esquits;Font-Romeu",42.5038,2.01752
"Pyrénées-Orientales;Cerdagne, Capcir - La Llagonne;La Llagonne",42.5264,2.12217
"Pyrénées-Orientales;Cerdagne, Capcir - Planès;Planès",42.4932,2.14154
"Pyrénées-Orientales;Cerdagne, Capcir - Puyvalador, Roc Mercadal;Puyvalador",42.6467,2.12012
"Pyrénées-Orientales;Cerdagne, Capcir - Quès;Latour-de-Carol",42.4652,1.8906
"Pyrénées-Orientales;Cerdagne, Capcir - Roc de l'Aigle;Fontpédrouse",42.5107,2.17832
"Pyrénées-Orientales;Cerdagne, Capcir - Roc dels Moros, Roc des Maures, Balcère;les Angles",42.5774,2.07381
"Pyrénées-Orientales;Cerdagne, Capcir - Rocher des Aveillans;Font-Romeu",42.5043,2.03925
"Pyrénées-Orientales;Cerdagne, Capcir - Rocher du Golf;Font-Romeu",42.509,2.03977
"Pyrénées-Orientales;Cerdagne, Capcir - Rocher du lac d'Aude;Les Angles",42.5774,2.07381
"Pyrénées-Orientales;Cerdagne, Capcir - Saint-Pierre-dels-Forcats;Saint-Pierre-dels-Forcats",42.4946,2.11843
"Pyrénées-Orientales;Cerdagne, Capcir - Targasonne;Angoustrine",42.4837,1.95906
"Ain;Cerdon, Roche de Saint-Alban;Cerdon, Saint-Alban",46.0994,5.43258
Savoie;CESSENS CARABIN;Chindrieux,45.7968,5.86713
